Pulsar,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),ANTF Binary (type),Model,Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,lps_a,lps_u_a,lps_b,lps_u_b,lps_c,lps_u_c,SMART
J0454+5543,0.3407294362346444,2.3722704378591677e-15,2.93487997706,-2.04336e-14,14.59002,909781086713.2686,3.310958181401887e+23,2.3675271584251116e+33,,high_frequency_cut_off_power_law,0.83963807590732797426,25.0,4820.0,17,True,41.87811171562149,14.026824725483792,2275681.5841729445,-1.4035213963259352e-14,0.14265915313936753,0.03807715204803002,0.004237205570045019,,,,,,,1903632910.4091723,122378440.8465637,,,,,,,,,,,False
J0745-5353,0.21483850578191938,2.186860780502591e-15,4.65465907222,-4.73802e-14,121.38,693612015535.147,6.327626041174601e+22,8.706518019058922e+33,,simple_power_law,0.91458325180721611325,400.0,3100.0,8,False,8.698995455531932,1.5781007025163727,1556528.3116668344,-1.3625766087458284,0.14206760492964776,0.01170937859690301,0.0008599962229152479,,,,,,,,,,,,,,,,,,,False
J1003-4747,0.3070742192346082,2.071221854057316e-15,3.25654170022,-2.196544e-14,98.49,807021242412.5027,2.1498237805295848e+23,2.8239453489286125e+33,,simple_power_law,0.9275636792342601966,154.24,3100.0,9,False,1.0382385976234993,0.19236210432486556,2348998.6853579646,-1.3457464713445635,0.0809819336354225,0.006286580398047411,0.00047675413306288517,,,,,,,,,,,,,,,,,,,True
J1012+5307,0.005255749021316282,1.7127025307474826e-20,190.2678373613727,-6.2003e-16,9.022146,303604536.87942094,405508478277992.1,4.657338691012945e+33,ELL1,simple_power_law,0.75082391192792319323,102.0,4850.0,15,True,5.348671594111577,1.2903212974663485,4862042109.649981,-1.1350566791205456,0.06961686560835778,0.008028946855630523,0.0007261771480565368,,,,,,,,,,,,,,,,,,,False
J1045-4509,0.007474224230144267,1.7664038011707278e-20,133.7931495240541,-3.16197e-16,58.1106,367686796.677709,1412421209784259.8,1.6701341606664726e+33,T2,high_frequency_cut_off_power_law,0.63821021066230365637,147.5,3100.0,14,False,1.9734640831582229,0.24996619716480206,6704126021.173084,-1.0452970074784427,0.11904012841965639,0.01811248858309926,0.0016040326781419853,,,,,,,2283974646.5548635,590684987.7978553,,,,,,,,,,,False
J1048-5832,0.12372534335125973,9.612174612032114e-14,8.0824184675,-6.2792e-12,128.679,3489716427916.9697,6.08070547375843e+22,2.0035739898292808e+36,,simple_power_law,0.8843343079297636411,640.0,17000.0,12,True,161.48814481186116,72.76149586075482,20394.029983745484,-0.6363891981223229,0.20224130047986505,0.010686203385926338,0.0006978905862811274,,,,,,,,,,,,,,,,,,,False
J1110-5637,0.558254373368017,2.0607720388551204e-15,1.79129810299,-6.6125e-15,262.56,1085378018610.2562,1.7372617242698527e+24,4.676202263026809e+32,,simple_power_law,0.83408668225547522024,640.0,3100.0,11,True,57.945644169219754,19.24735229369971,4292084.052071879,-0.8797609134843761,0.22778387209713313,0.004304236607934299,0.0002990751523198197,,,,,,,,,,,,,,,,,,,False
J1114-6100,0.880858250434319,4.6013011792730797e-14,1.13525643826,-5.93019e-14,676.7,6442335263746.954,4.050878606317527e+25,2.6578001304721964e+33,,simple_power_law,0.96623513117278303497,640.0,3100.0,9,True,185.5841694087935,160.2289584883271,303313.26405245543,-0.11726459304789819,0.6392697040413968,0.005553361680711527,0.0010954202086827735,,,,,,,,,,,,,,,,,,,False
J1116-4122,0.943157882843,7.9536e-15,1.060267870513533,-8.941182264730328e-15,40.53,2771558505582.6636,2.1392674080607122e+25,3.742573048954273e+32,,simple_power_law,0.82010727192205046254,147.5,3100.0,14,False,3.1391754799466955,0.4367473942009979,1878826.5574093873,-1.5744083480763125,0.09192740382085995,0.033090347824671656,0.003212539948848722,,,,,,,,,,,,,,,,,,,True
J1141-6545,0.3938988148377834,4.307370965352239e-15,2.538723048486,-2.77615e-14,116.08,1318100283726.007,7.411230201624174e+23,2.782389915985704e+33,DD,simple_power_law,0.5315227223029662662,154.24,3100.0,7,True,2190.895159157649,373.926495548879,1448900.0755709105,-1.4112855265507085,0.14227855703780923,0.017894066122399424,0.0028825958247286187,,,,,,,,,,,,,,,,,,,True
J1302-6350,0.04776250754158053,2.2787477438202114e-15,20.9369242,-9.989e-13,146.73,333842530619.9949,3.346500151088117e+20,8.256474246177666e+35,MSS,simple_power_law,0.9706550684081444169,640.0,8356.0,10,True,13.075384668208143,13.33584781352585,332090.8462334908,0.015744641665919764,0.5495672085290563,0.0019156889148515778,0.00035492587312929464,,,,,,,,,,,,,,,,,,,False
J1320-5359,0.27973768328216575,9.245768712932753e-15,3.57477758544,-1.18152e-13,97.1,1627409990751.1274,3.277462465299922e+23,1.667438559604105e+34,,high_frequency_cut_off_power_law,0.99455790308388647425,154.24,3100.0,10,False,79.77215253756293,9.633481890171048,479373.45979350805,-0.6529748193194882,0.18387253601283568,0.019298528907424294,0.0016925833895504415,,,,,,,1776745857.370635,124486146.37842572,,,,,,,,,,,True
J1452-6036,0.15499219173827564,1.4505554179385003e-15,6.45193792529,-6.0383e-14,349.525,479813044619.73254,1.6435742828700056e+22,1.5380292797132076e+34,,simple_power_law,0.9861669422716529132,728.0,3100.0,7,False,91.31527115159096,58.38627850684992,1692939.8634322023,-0.35700060038722575,0.13477862257720746,0.0016357807854834186,0.00010891108329594604,,,,,,,,,,,,,,,,,,,False
J1512-5759,0.12869857304743115,6.8526971252064465e-15,7.7700939204,-4.137272e-13,627.47,950315062354.2019,1.8637027033552924e+22,1.2691123754621553e+35,,low_frequency_turn_over_power_law,0.9779237907593903989,640.0,3100.0,9,True,0.05445368030178252,339.0988410577799,297562.5224458141,-7.805894218221539,0.7811354641025168,0.40731829279492904,0.18731781040495687,,,,,,,,,890394165.4858271,16953160.91742903,2.09999999888526,1.8023327621418663,,,,,,,False
J1513-5908,0.15158194339345915,1.5286897617091928e-12,6.59709182778,-6.65310558e-11,252.5,15403995821986.48,4.935869078564322e+23,1.7327530876903527e+37,,simple_power_law,0.99883826787665175306,400.0,3100.0,6,False,50.84145495603005,26.72032549835004,1571.064990944465,-0.5134950106309945,0.7348344802560267,0.0019038139485236518,0.0008700026450264465,,,,,,,,,,,,,,,,,,,False
J1707-4053,0.5810176957158364,1.920231445148887e-15,1.72111797519,-5.6882e-15,351.78,1068861530924.157,1.928756279728356e+24,3.864962060070096e+32,,broken_power_law,1.0,147.5,6591.0,19,False,728.2663151988307,143.7872389216436,4794041.835389441,,,0.007070748342604915,0.0014910122186506144,273041189.77680916,12320278.345256567,-4.142149616729739,0.17956780886603663,-1.2950032369923723,0.0470213774022149,,,,,,,,,,,,,False
J1721-3532,0.2804238585494842,2.518617300090702e-14,3.56603038405,-3.202818e-13,496.82,2689295652502.6045,5.455961027647646e+23,4.508966789373259e+34,,simple_power_law,0.9999422285104654362,1360.0,17000.0,11,True,5543777.612423767,246.18491928152594,176408.21919520837,-7.999999999955805,6.9556363737472555,0.008114983867721911,0.0005267455369081663,,,,,,,,,,,,,,,,,,,False
J1723-3659,0.20272489920793296,8.028497404798864e-15,4.93279317887,-1.95353e-13,254.4,1290983407728.89,9.895318272790197e+22,3.804282228969655e+34,,simple_power_law,0.9999476489685269476,325.0,3100.0,6,True,21.997972740695207,24.998862548555664,400072.6464924407,0.10207838835366696,0.16548485616704486,0.00189614177727488,0.00022896861374568271,,,,,,,,,,,,,,,,,,,False
J1730-2304,0.008122798048058056,2.0184027301002547e-20,123.1102871305625,-3.05912e-16,9.6257,409738448.5547272,2020279762114227.5,1.4867932964394526e+33,,high_frequency_cut_off_power_law,0.50930052126608860164,102.0,3100.0,19,False,10.708204495881825,1.4927433542106616,6376228440.537774,-1.162334795044415,0.13650209892759912,0.028468618699214486,0.0022571753544026827,,,,,,,2887191832.691521,649051073.9526808,,,,,,,,,,,False
J1739-3023,0.11437172844730296,1.139514460055114e-14,8.7434194934,-8.71129e-13,170.5,1155232081049.0476,1.5900585686778853e+22,3.0069314258122736e+35,,simple_power_law,0.99992582029710330715,300.0,3100.0,6,False,12.119690958218593,9.54153527173873,159024.80843925048,-0.19091965948076792,0.06333267307863572,0.0011711439809026763,5.677747559967069e-05,,,,,,,,,,,,,,,,,,,False
J1740-3015,0.6068866242543225,4.661238264775695e-13,1.6477542263,-1.26557e-12,151.96,17019798444997.264,3.4999749606672742e+25,8.232625167663807e+34,,simple_power_law,0.5878152208752676078,350.0,17000.0,16,True,4.527969850782558,1.0687426693642557,20628.72090004177,-1.1524852159748733,0.11160393323013662,0.013719290085231832,0.000733148310363356,,,,,,,,,,,,,,,,,,,False
J1756-2435,0.6704799625529156,2.847403274657729e-16,1.491468881773,-6.33399e-16,367.1,442147699886.4448,1.2260624948925504e+24,3.7295059701666914e+31,,simple_power_law,0.98448469976808050674,606.0,3100.0,7,True,68.80476381384219,27.37460741026019,37308076.660615504,-0.7356995380166126,0.18377198693421132,0.00240926158516756,0.00018757418166409114,,,,,,,,,,,,,,,,,,,False
J1757-2223,0.18531010157882535,7.819523542564567e-16,5.39635989339,-2.2771e-14,239.3,385203009180.60754,2.255146608279218e+22,4.8511281339211344e+33,,simple_power_law,0.87143893827179530476,600.0,3100.0,11,False,23.148714789507117,17.939561173460486,3754782.9734716574,-0.20349489345301833,0.1555649561648261,0.0014018254148354724,8.438044703791656e-05,,,,,,,,,,,,,,,,,,,False
J1759-3107,1.0789549468829083,3.773397432885536e-15,0.926822758345,-3.24135e-15,128.3,2041822138828.3374,2.359476560963348e+25,1.1859936253276287e+32,,high_frequency_cut_off_power_law,0.63160597409641361377,350.0,3100.0,8,True,55.02257101881883,14.73774730258156,4530402.603001356,-0.5760655039776825,0.3283478458781025,0.00477602842673077,0.0005775391830051334,,,,,,,2628163043.573673,504409849.8011501,,,,,,,,,,,False
J1801-2451,0.12492420656941088,1.279056857380874e-13,8.0048537226,-8.1959e-12,291.55,4044996996031.531,7.255140548828254e+22,2.5900597788770003e+36,,simple_power_law,0.99995115604267459375,147.5,3100.0,6,True,43.68905962126472,19.35909565440679,15474.719536610095,-0.6497121727090059,0.1339279361191315,0.0027805196454800214,0.0002475859440120127,,,,,,,,,,,,,,,,,,,False
J1808-0813,0.8760442866771196,1.2401973304909892e-15,1.141494802498,-1.61599e-15,151.27,1054771545210.7812,6.524157208652005e+24,7.282363350196574e+31,,simple_power_law,0.96796582738784897604,102.5,3100.0,8,True,209.06878325251603,27.88001885255075,11191835.203440076,-1.6082476037880107,0.15018454277411597,0.01446372318875702,0.0022428053167141537,,,,,,,,,,,,,,,,,,,False
J1812-1733,0.5383405433024702,9.824548344038382e-16,1.85756026077,-3.38999e-15,509.8,735927140270.5944,1.0563161319388776e+24,2.4859996624738997e+32,,simple_power_law,0.9672497527815596685,728.0,4000.0,9,True,576.1378264614849,98.5911214408289,8681815.088411806,-1.4091777512619679,0.19386943253944167,0.007523237656546938,0.00042616680008676633,,,,,,,,,,,,,,,,,,,False
J1817-3618,0.38701939745435454,2.0229828931641127e-15,2.58384981884,-1.3506e-14,94.13,895390432862.553,4.775275961709031e+23,1.3776971171770193e+33,,simple_power_law,0.74032957441570057533,350.0,3100.0,8,False,254.26662271034235,72.23612022389477,3031143.9344611554,-1.0045341720029775,0.1822966734371409,0.0076547232285456785,0.0009567578774314278,,,,,,,,,,,,,,,,,,,False
J1817-3837,0.38448678392,5.802e-16,2.600869631472351,-3.924776151718755e-15,102.847,477946789506.02155,2.499261072280095e+23,4.029890191320985e+32,,simple_power_law,0.99992783167085730334,350.0,3100.0,6,False,195.02777061402625,76.13102267594947,10499526.863314835,-0.7508891521965989,0.12394399089120378,0.0034881003405740217,0.0002948576838844178,,,,,,,,,,,,,,,,,,,False
J1828-1101,0.07205652530677652,1.479719172053831e-14,13.877993641,-2.84992e-12,605.0,1044903747219.1002,3.5965330992887565e+21,1.5614176706412643e+36,,simple_power_law,1.0,1360.0,4850.0,6,True,209.46140438833257,54.0362404229457,77154.28523933011,-1.0815170856671472,0.3956573538538939,0.001714101591293991,0.00022240912551029922,,,,,,,,,,,,,,,,,,,False
J1835-0643,0.3058300977124275,4.045597820213995e-14,3.26978936174,-4.32536e-13,464.8,3559438088380.1016,9.367203195777431e+23,5.58343896321636e+34,,high_frequency_cut_off_power_law,0.7627285912802569401,147.5,4850.0,16,True,322.766132539649,67.0591829610638,119774.27593101474,-0.9308969345214934,0.08509232269278166,0.009563839217853639,0.0005789662849477201,,,,,,,3401836560.2142477,352785582.4454849,,,,,,,,,,,False
J1837-0653,1.9058087060664768,7.720406265346875e-16,0.524711633868,-2.1256e-16,316.1,1227466671411.696,7.816916193544117e+25,4.403134700387662e+30,,simple_power_law,0.56636113023509271347,102.5,3100.0,12,True,350.693780158201,64.15552159550437,39111564.57247788,-1.3558855934017142,0.18197703726090808,0.020099479859663125,0.00449700967653021,,,,,,,,,,,,,,,,,,,False
J1841-0425,0.18614885795626024,6.3928813380918106e-15,5.37204477631,-1.844913e-13,325.487,1103896834662.975,6.550846810943612e+22,3.9126882999637783e+34,,simple_power_law,0.7291717814720527491,300.0,3100.0,12,False,64.89202786090978,48.24635991122393,461349.198072231,-0.2366005410921024,0.11947065092432924,0.0029433882003618464,0.00012224395111449442,,,,,,,,,,,,,,,,,,,False
J1842-0153,1.0542282503798597,6.721730289181031e-15,0.948561186479,-6.048e-15,427.2,2693753454454.129,2.903685805356987e+25,2.2648365720148526e+32,,simple_power_law,0.9826402346184452963,728.0,3100.0,7,True,114.91320246408354,41.65260176207646,2484961.1585752354,-0.8100600622685944,0.2762010053533171,0.001129276120214582,9.603890449944692e-05,,,,,,,,,,,,,,,,,,,False
J1843-0211,2.0275243887163676,1.4441434130847797e-14,0.493212316244,-3.513e-15,441.7,5475681559964.468,4.198791137878075e+26,6.840247240227343e+31,,high_frequency_cut_off_power_law,0.57530818772956326956,728.0,3100.0,7,True,116.14875608307375,46.91198413107512,2224445.657287289,-3.780094293137637e-12,0.22089427259155497,0.00408916172990656,0.0006294397571998418,,,,,,,2077558800.1701114,161388538.90641475,,,,,,,,,,,False
J1901-0906,1.7819277623429401,1.6382851271131851e-15,0.5611899770197,-5.15952e-16,72.677,1728979204227.6836,9.000111287372081e+25,1.1430860975543476e+31,,simple_power_law,0.98138111772564740054,350.0,3100.0,7,False,30.59662367170747,14.915395253634106,17233228.354724027,-0.5735288840640778,0.22044224776762023,0.006052116508638225,0.0007775782214530518,,,,,,,,,,,,,,,,,,,False
J1903-0632,0.4318893087444903,3.380714879991255e-15,2.31540809127,-1.81244e-14,195.611,1222757900519.8022,9.062450868427904e+23,1.6567268916854007e+33,,simple_power_law,0.9301735042805032716,102.5,3100.0,9,True,3663.895468507293,365.22405882303843,2024090.588418842,-1.8405486344971413,0.06518672656356805,0.04167835780305087,0.0016908443749378103,,,,,,,,,,,,,,,,,,,False
J1948+3540,0.7173111740759792,7.061204888841216e-15,1.394095109822,-1.372346e-14,129.36748,2277420276819.0757,7.733103075904274e+24,7.552935245357105e+32,,broken_power_law,0.9999999999999740208,102.5,5124.0,9,True,1611.0311885752626,549.7225475831689,1609514.2282320883,,,0.023582556536210122,0.003908593224493934,585716376.1023446,17791104.82923907,2.999999995651725,1.9605297442698175,-2.5468788161210463,0.11131988761228118,,,,,,,,,,,,,False
J1954+2923,0.42667678653018165,1.7105707412183338e-18,2.3436944112479,-9.396e-18,7.932,27338205625.89073,1.9536865195139466e+22,8.693681576330692e+29,,simple_power_law,0.98326119521590349404,25.0,4920.0,7,True,2.42249664457702,1.567754662607564,3952064405.7509756,-0.34735560206127886,0.12370399414235672,0.010968321897092962,0.0025606069386052656,,,,,,,,,,,,,,,,,,,False
J2007+2722,0.024497388545933394,9.610954559810416e-19,40.820677605083,-1.6015e-15,126.782,4910131638.404022,6.641104808835429e+17,2.5808745154541717e+33,,simple_power_law,1.0,610.0,9000.0,5,False,74.53898878116544,120.59180825214284,403849271.4886153,0.384022389955684,0.20761607266085977,0.0021853018536853296,8.070850781171724e-05,,,,,,,,,,,,,,,,,,,False
J2051-0827,0.0045086418200064255,1.2733365904679839e-20,221.796283653017,-6.264e-16,20.7299,242462431.0938465,204441701976805.8,5.484862576050508e+33,ELL1,high_frequency_cut_off_power_law,0.53512448401741752324,111.0,2695.0,13,True,18.164129856267024,3.1247980297424625,5610073525.879691,-1.3743116007996614,0.05777366803661754,0.005558051633097852,0.0003168688417747247,,,,,,,26949999999.998344,18220868161.66893,,,,,,,,,,,False
J2053-7200,0.3413364057236207,1.9760886964796737e-16,2.9296611297,-1.69606e-15,17.3,262811582195.4172,9.61568352672986e+22,1.961635613408961e+32,,simple_power_law,0.91615967783973562,151.5,3100.0,10,False,31.601167538188935,6.0913860178493255,27367946.636109825,-1.3141499739041098,0.17520665560232618,0.024344107268148146,0.0032812282356922736,,,,,,,,,,,,,,,,,,,False
