,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,SMART
ATNF Period (s),1.0,0.1032199972971225,-0.19512678494599803,0.039195358321645,-0.0033748649970910026,0.2612681971251268,0.7312729073620443,-0.02969573576169124,0.0020365374120296085,-0.015714342515970158,0.0028254426850137303,-0.03477618412776553,-0.01939815506019012,0.07729330830133775,0.016068826609632793,-0.1545120802076359,-0.05810432870873343,0.04825144221292873,-0.0010301894459707835,-0.001041774727015554,-0.1909429516680562,-0.08577596035750955,0.041811509479549216,-0.03562171844466007,-0.052951300981090584,0.2653602379269267,-0.10229114747080026,-0.083883974039259,-0.21255212465468168,-0.14913041854269754,-0.014736439448348576,0.1465681444242214,0.0059341162210749055
ATNF Pdot,0.1032199972971225,1.0,-0.02297696761148276,-0.05321392072476777,0.30517294950479756,0.9394152559496629,0.03946965215488527,0.02464580027345962,0.02627404400434772,0.14922154841559374,0.3695441703578247,-0.027964865628419665,-0.041605113950068995,0.06851907748148021,-0.003615598881742137,-0.01990184538673706,0.06024968423819155,-0.012494911640951333,-0.0034889916688470727,-0.0034876609657600757,-0.06892214017715448,-0.01672673158291139,0.28771527706004085,-0.025143126883510374,-0.07210303134301367,-0.04890236970776258,0.025901240368503862,0.00715904049718927,0.3429965915618582,0.28580007888104175,0.1725807492963837,0.07950797908494,-0.023550313659002866
ATNF Spin Frequency (Hz),-0.19512678494599803,-0.02297696761148276,1.0,0.004952048057716252,-0.20042348760937606,-0.07235979160465335,-0.011341755356023421,0.0024725472701147464,0.07012483928591408,-0.11460316877387423,-0.019458743814894375,0.06350789809863296,-0.08425293022574683,-0.038689145226188625,-0.01452062839971069,0.5596281740908013,-0.11921249278072209,-0.05252619571880298,-0.01267202432598297,-0.01266695071984999,0.4878064461808711,-0.027154879967371225,-0.2973376052534266,-0.09367220487200743,0.04973994124184517,-0.08856863024034023,0.0799951370655963,0.10466025527276894,0.03291008334798,-0.1091800489036642,-0.0734806679380719,-0.16751334750391023,-0.03045964670648568
ATNF Fdot,0.039195358321645,-0.05321392072476777,0.004952048057716252,1.0,-0.007525155169854686,-0.026165441575799475,0.0024641737737298632,-0.9867276180488326,0.04471683539787681,0.01183703554997429,-0.03216013697844179,0.0018534744798592516,0.05781961189334816,-0.009588172678904964,0.002987425968526133,0.017220684285455253,-0.07580734793507427,0.010622935727064025,0.003088889241480575,0.0030877129050494623,0.07101413520590599,0.031594552372391026,-0.2652272379471681,-0.0034675618737860293,0.10446180440872148,0.013403681741180286,0.012111380955583588,0.023834140897788413,-0.46398229138047353,-0.454134404617971,-0.04240205947678959,-0.04355423782695735,-0.07910939058548128
ATNF DM,-0.0033748649970910026,0.30517294950479756,-0.20042348760937606,-0.007525155169854686,1.0,0.3592550771086859,-0.012674854366102724,-0.010244154704496512,0.1066721819166347,0.6814290166186233,0.07891366914002561,-0.2319970783979865,0.15979841853258245,0.11573549953084077,-0.025241219429975204,-0.19546430575161197,0.054295841637348095,0.07580652505206277,-0.03778162592226153,-0.037767394197731334,-0.004949060695183639,-0.14848964092599432,0.1321763427503192,-0.07753154081698299,-0.1312834756160659,0.01713782619297506,-0.1045043033116522,-0.15106573901191508,0.4432537018909542,0.6318443509347905,0.20057643720018928,0.29103774240877783,-0.2512612662001526
ATNF B_surf (G),0.2612681971251268,0.9394152559496629,-0.07235979160465335,-0.026165441575799475,0.3592550771086859,1.0,0.11924746247868759,0.006006418240736757,0.02876204293876032,0.20137544075544786,0.3394966139341474,-0.037374985865526504,-0.014949482024263043,0.2111304193113542,-0.00734496686199506,-0.06283115729888136,0.02456350981133025,0.004878322279592547,-0.007045356754162109,-0.0070431342272004325,-0.1380770099824371,-0.0184339258332764,0.18285788780338508,-0.008686819687600744,-0.1179766954016404,-0.028008156999563067,0.0710955828249619,0.040508858231818184,0.2714052847130691,0.16654545381927835,0.18751428378066007,0.09944063405758671,-0.039754437295805745
ATNF B_LC (G),0.7312729073620443,0.03946965215488527,-0.011341755356023421,0.0024641737737298632,-0.012674854366102724,0.11924746247868759,1.0,-0.0017832732440117586,0.023568249104032424,-0.019585686980170502,0.00986167164797836,-0.02133798456411237,-0.04829955110392201,0.0016063600681457046,-0.0018948508439099575,-0.009053330722431448,-0.03650310401995743,-0.0040887878812228655,-0.0016798658113752487,-0.0016792367805632843,-0.06983421780702245,-0.027429782039353517,0.054730552519305586,-0.04123686361822897,0.006692185947877747,-0.02123484706618282,-0.05517164139127674,-0.04867206110511567,0.05717628101752728,-0.05106185369667627,0.10108792265875144,0.10528288914254262,-0.013657011143772341
ATNF E_dot (ergs/s),-0.02969573576169124,0.02464580027345962,0.0024725472701147464,-0.9867276180488326,-0.010244154704496512,0.006006418240736757,-0.0017832732440117586,1.0,-0.040251955955839434,-0.024274511094306606,0.007958322859358928,-0.000275645628284723,-0.056611391933433695,0.012286978345935786,-0.0020719967881564863,-0.011691463422341829,0.0437777122205038,-0.0001987014224449212,-0.0021485640840967417,-0.002147753395066508,-0.07180019589377865,-0.03218952737978357,0.2635245626837936,0.005795235900997385,-0.10710955318869023,-0.011697331581851841,-0.014982882255171642,-0.03009135737617034,0.4204713807082009,0.3730905968931645,-0.013759023139363998,0.008628182921905397,0.08579248134268495
Probability Best,0.0020365374120296085,0.02627404400434772,0.07012483928591408,0.04471683539787681,0.1066721819166347,0.02876204293876032,0.023568249104032424,-0.040251955955839434,1.0,0.27137997205968833,-0.00041443468621469237,-0.23289419088118934,0.09730185521818908,-0.04856120907484931,0.025512172382997543,0.04123780664810293,0.02763573013518719,0.0722166289596683,-0.06229428428236698,-0.06230421680660836,0.05455132102949009,-0.21758635125433287,-0.16125983466876928,-0.4255213774178789,0.23165655915636935,-0.17213776042411963,0.0703068702663985,0.10926712204882524,-0.19439641079469194,-0.33802175502108023,0.1402584822290202,-0.03818094818592168,-0.16987818701714935
Min freq (MHz),-0.015714342515970158,0.14922154841559374,-0.11460316877387423,0.01183703554997429,0.6814290166186233,0.20137544075544786,-0.019585686980170502,-0.024274511094306606,0.27137997205968833,1.0,0.0039380864425731296,-0.3558478751411237,0.2981823754152057,0.08631648817782854,-0.03248148213774513,-0.12361905213130168,0.021082032398863117,0.15442117705904118,-0.042591147727036476,-0.042575139740076276,0.08455496334685823,0.016474284258572627,0.10850131972815236,0.07539238037735303,-0.10252200936602258,-0.02839262078970163,-0.05620916332534789,-0.12489859403944786,0.885939026342717,0.5585906826474426,0.23104168114545612,0.21814206454987725,-0.2840114204331841
Max freq (MHz),0.0028254426850137303,0.3695441703578247,-0.019458743814894375,-0.03216013697844179,0.07891366914002561,0.3394966139341474,0.00986167164797836,0.007958322859358928,-0.00041443468621469237,0.0039380864425731296,1.0,0.3196534601708942,-0.06563168975838901,-0.004401162132307543,-0.008514408243167118,-0.023251001757764813,-0.014618627844705755,-0.044932572461454635,0.04220517137341304,0.042207974777194,-0.010746962379077674,-0.023689504704493495,-0.010895784571874413,-0.08092788789577415,0.019341368462569685,-0.05641295950692408,0.7090710411758239,0.599813134990534,-0.03268807479034418,-0.023555635785129377,-0.09726957157253904,-0.15267436287964212,0.09397272179479857
N data flux,-0.03477618412776553,-0.027964865628419665,0.06350789809863296,0.0018534744798592516,-0.2319970783979865,-0.037374985865526504,-0.02133798456411237,-0.000275645628284723,-0.23289419088118934,-0.3558478751411237,0.3196534601708942,1.0,-0.07431273822764489,-0.007109311105925024,-0.022946580678533515,0.009625171287914765,-0.31462841605081754,-0.003489818570291457,0.07796796301585344,0.07795542852647541,0.07308977176174611,-0.07565989295011581,-0.03357838912764448,-0.20978430704720027,0.012870619146748566,-0.15595796727037936,0.44120461495761215,0.507652758076967,-0.2926892388067628,-0.32848203915635493,-0.11459077232406402,-0.3182926763906597,0.361526652542323
Bandwidth fit?,-0.01939815506019012,-0.041605113950068995,-0.08425293022574683,0.05781961189334816,0.15979841853258245,-0.014949482024263043,-0.04829955110392201,-0.056611391933433695,0.09730185521818908,0.2981823754152057,-0.06563168975838901,-0.07431273822764489,1.0,0.04860015609070371,-0.05617669595405514,-0.019199930958844095,0.10195031431173206,-0.014068970977113565,-0.06301644147879322,-0.06299270235858313,-0.1292462369836298,-0.08080695470862805,0.018409123086271375,-0.09284578189238607,0.12125006698543374,0.012554493310976186,-0.020246642663520747,0.000260836126234978,-0.11957752914970997,-0.2217668535838105,0.36266523927513433,0.20362975813854878,-0.16210199438016681
L400 (mJy kpc^2),0.07729330830133775,0.06851907748148021,-0.038689145226188625,-0.009588172678904964,0.11573549953084077,0.2111304193113542,0.0016063600681457046,0.012286978345935786,-0.04856120907484931,0.08631648817782854,-0.004401162132307543,-0.007109311105925024,0.04860015609070371,1.0,0.0408712158731955,-0.041047091200770616,-0.18196801118563788,0.07540145691942345,-0.005372494047328911,-0.00536975674857383,-0.0657469744442313,-0.06984955561326317,0.18213843612733455,0.0032224116672998683,-0.07203443880651852,-0.08921882374343544,-0.07594845031466572,-0.08095805771020248,-0.0962706762081158,-0.035608263626649164,0.1235227855957772,0.1409057393548158,-0.03359877976431844
L1400 (mJy kpc^2),0.016068826609632793,-0.003615598881742137,-0.01452062839971069,0.002987425968526133,-0.025241219429975204,-0.00734496686199506,-0.0018948508439099575,-0.0020719967881564863,0.025512172382997543,-0.03248148213774513,-0.008514408243167118,-0.022946580678533515,-0.05617669595405514,0.0408712158731955,1.0,-0.012078081239427066,0.1493581466520195,0.018956512128271034,-0.0018160213884920568,-0.0018151695147973028,-0.030545866501002897,-0.0477035927702699,0.2460796878049064,-0.05860335789175514,0.004295529339100276,-0.05973041496002012,-0.0478166229631719,-0.08303034818109752,0.009924760021258071,0.08504205837763328,0.10593452347190561,0.1438427031458827,-0.01559455092634674
Age (Yr),-0.1545120802076359,-0.01990184538673706,0.5596281740908013,0.017220684285455253,-0.19546430575161197,-0.06283115729888136,-0.009053330722431448,-0.011691463422341829,0.04123780664810293,-0.12361905213130168,-0.023251001757764813,0.009625171287914765,-0.019199930958844095,-0.041047091200770616,-0.012078081239427066,1.0,-0.018187155457383957,-0.05151023662637266,-0.011019172054513578,-0.011015112128211905,0.25438675549517903,-7.418161453393238e-05,-0.27564718743209066,-0.08053183334008136,0.048618138360408514,-0.06508928501188772,0.24438887702398918,0.30778328146483236,0.014610506572015763,-0.08756253215001027,-0.0018110470570431125,-0.0036248744531961383,-0.03311348562839132
a,-0.05810432870873343,0.06024968423819155,-0.11921249278072209,-0.07580734793507427,0.054295841637348095,0.02456350981133025,-0.03650310401995743,0.0437777122205038,0.02763573013518719,0.021082032398863117,-0.014618627844705755,-0.31462841605081754,0.10195031431173206,-0.18196801118563788,0.1493581466520195,-0.018187155457383957,1.0,-0.41821355010070904,-0.1690939423457615,-0.16901479761496102,,,,,,,-0.47668390064323135,-0.47038233494788423,-0.06388037970841635,0.1865080696119805,0.6970569333418715,0.5684635632407177,-0.08198202643531517
u_a,0.04825144221292873,-0.012494911640951333,-0.05252619571880298,0.010622935727064025,0.07580652505206277,0.004878322279592547,-0.0040887878812228655,-0.0001987014224449212,0.0722166289596683,0.15442117705904118,-0.044932572461454635,-0.003489818570291457,-0.014068970977113565,0.07540145691942345,0.018956512128271034,-0.05151023662637266,-0.41821355010070904,1.0,-0.017121435791165106,-0.017306150573373542,,,,,,,-0.10001016897210095,-0.07868839776533201,0.09952635866558295,0.042790644168234714,-0.3447845510044342,-0.18473619271268465,-0.0007139002170368995
c,-0.0010301894459707835,-0.0034889916688470727,-0.01267202432598297,0.003088889241480575,-0.03778162592226153,-0.007045356754162109,-0.0016798658113752487,-0.0021485640840967417,-0.06229428428236698,-0.042591147727036476,0.04220517137341304,0.07796796301585344,-0.06301644147879322,-0.005372494047328911,-0.0018160213884920568,-0.011019172054513578,-0.1690939423457615,-0.017121435791165106,1.0,0.9999998738114096,-0.15298952056620144,-0.05632328020391158,0.4109496956301074,0.8058110721684852,-0.03178319649133084,-0.01718436691381584,-0.015507161575422913,-0.022571161642744118,-0.054531023506896044,-0.012777773900630422,-0.199676278158453,-0.12729099936123583,0.02824711317564528
u_c,-0.001041774727015554,-0.0034876609657600757,-0.01266695071984999,0.0030877129050494623,-0.037767394197731334,-0.0070431342272004325,-0.0016792367805632843,-0.002147753395066508,-0.06230421680660836,-0.042575139740076276,0.042207974777194,0.07795542852647541,-0.06299270235858313,-0.00536975674857383,-0.0018151695147973028,-0.011015112128211905,-0.16901479761496102,-0.017306150573373542,0.9999998738114096,1.0,-0.14620628632490199,-0.04512559133351518,0.2760288582720177,0.31025744695762675,-0.03184575885121473,-0.04804153275257114,-0.015498113699992445,-0.022458787329813146,-0.05449920214770124,-0.0127492496732839,-0.19960238091086271,-0.12724255617332297,0.028202003855074115
vb,-0.1909429516680562,-0.06892214017715448,0.4878064461808711,0.07101413520590599,-0.004949060695183639,-0.1380770099824371,-0.06983421780702245,-0.07180019589377865,0.05455132102949009,0.08455496334685823,-0.010746962379077674,0.07308977176174611,-0.1292462369836298,-0.0657469744442313,-0.030545866501002897,0.25438675549517903,,,-0.15298952056620144,-0.14620628632490199,1.0,0.5915443506509581,-0.22077614370939963,-0.24342675071065387,0.024864915292192532,0.13945599647752088,,,,,,,0.00620916970252154
u_vb,-0.08577596035750955,-0.01672673158291139,-0.027154879967371225,0.031594552372391026,-0.14848964092599432,-0.0184339258332764,-0.027429782039353517,-0.03218952737978357,-0.21758635125433287,0.016474284258572627,-0.023689504704493495,-0.07565989295011581,-0.08080695470862805,-0.06984955561326317,-0.0477035927702699,-7.418161453393238e-05,,,-0.05632328020391158,-0.04512559133351518,0.5915443506509581,1.0,-0.022954526489352377,-0.018723011211011806,0.06373431548666669,0.050392510492395015,,,,,,,-0.09731073783444819
a1,0.041811509479549216,0.28771527706004085,-0.2973376052534266,-0.2652272379471681,0.1321763427503192,0.18285788780338508,0.054730552519305586,0.2635245626837936,-0.16125983466876928,0.10850131972815236,-0.010895784571874413,-0.03357838912764448,0.018409123086271375,0.18213843612733455,0.2460796878049064,-0.27564718743209066,,,0.4109496956301074,0.2760288582720177,-0.22077614370939963,-0.022954526489352377,1.0,0.38363026965806407,-0.31242528636060535,-0.2984622913874322,,,,,,,0.06629173435219461
u_a1,-0.03562171844466007,-0.025143126883510374,-0.09367220487200743,-0.0034675618737860293,-0.07753154081698299,-0.008686819687600744,-0.04123686361822897,0.005795235900997385,-0.4255213774178789,0.07539238037735303,-0.08092788789577415,-0.20978430704720027,-0.09284578189238607,0.0032224116672998683,-0.05860335789175514,-0.08053183334008136,,,0.8058110721684852,0.31025744695762675,-0.24342675071065387,-0.018723011211011806,0.38363026965806407,1.0,0.00031602947766069686,-0.015588278981164532,,,,,,,0.13678914443279203
a2,-0.052951300981090584,-0.07210303134301367,0.04973994124184517,0.10446180440872148,-0.1312834756160659,-0.1179766954016404,0.006692185947877747,-0.10710955318869023,0.23165655915636935,-0.10252200936602258,0.019341368462569685,0.012870619146748566,0.12125006698543374,-0.07203443880651852,0.004295529339100276,0.048618138360408514,,,-0.03178319649133084,-0.03184575885121473,0.024864915292192532,0.06373431548666669,-0.31242528636060535,0.00031602947766069686,1.0,-0.05496396638313404,,,,,,,-0.18103699113772864
u_a2,0.2653602379269267,-0.04890236970776258,-0.08856863024034023,0.013403681741180286,0.01713782619297506,-0.028008156999563067,-0.02123484706618282,-0.011697331581851841,-0.17213776042411963,-0.02839262078970163,-0.05641295950692408,-0.15595796727037936,0.012554493310976186,-0.08921882374343544,-0.05973041496002012,-0.06508928501188772,,,-0.01718436691381584,-0.04804153275257114,0.13945599647752088,0.050392510492395015,-0.2984622913874322,-0.015588278981164532,-0.05496396638313404,1.0,,,,,,,0.07727564703877958
vc,-0.10229114747080026,0.025901240368503862,0.0799951370655963,0.012111380955583588,-0.1045043033116522,0.0710955828249619,-0.05517164139127674,-0.014982882255171642,0.0703068702663985,-0.05620916332534789,0.7090710411758239,0.44120461495761215,-0.020246642663520747,-0.07594845031466572,-0.0478166229631719,0.24438887702398918,-0.47668390064323135,-0.10001016897210095,-0.015507161575422913,-0.015498113699992445,,,,,,,1.0,0.9745640118965779,-0.19632005737650182,-0.20650108751089738,0.07892407410773197,0.1889550872889304,0.11409890308708162
u_vc,-0.083883974039259,0.00715904049718927,0.10466025527276894,0.023834140897788413,-0.15106573901191508,0.040508858231818184,-0.04867206110511567,-0.03009135737617034,0.10926712204882524,-0.12489859403944786,0.599813134990534,0.507652758076967,0.000260836126234978,-0.08095805771020248,-0.08303034818109752,0.30778328146483236,-0.47038233494788423,-0.07868839776533201,-0.022571161642744118,-0.022458787329813146,,,,,,,0.9745640118965779,1.0,-0.23276739810508013,-0.2250921646059142,0.2456991786648227,0.33047179691867573,0.15386615077330168
vpeak,-0.21255212465468168,0.3429965915618582,0.03291008334798,-0.46398229138047353,0.4432537018909542,0.2714052847130691,0.05717628101752728,0.4204713807082009,-0.19439641079469194,0.885939026342717,-0.03268807479034418,-0.2926892388067628,-0.11957752914970997,-0.0962706762081158,0.009924760021258071,0.014610506572015763,-0.06388037970841635,0.09952635866558295,-0.054531023506896044,-0.05449920214770124,,,,,,,-0.19632005737650182,-0.23276739810508013,1.0,0.5832809989792518,0.12005512759269395,0.10852913307943071,-0.32025586158005415
u_vpeak,-0.14913041854269754,0.28580007888104175,-0.1091800489036642,-0.454134404617971,0.6318443509347905,0.16654545381927835,-0.05106185369667627,0.3730905968931645,-0.33802175502108023,0.5585906826474426,-0.023555635785129377,-0.32848203915635493,-0.2217668535838105,-0.035608263626649164,0.08504205837763328,-0.08756253215001027,0.1865080696119805,0.042790644168234714,-0.012777773900630422,-0.0127492496732839,,,,,,,-0.20650108751089738,-0.2250921646059142,0.5832809989792518,1.0,0.12429908986716627,0.3460563650162789,-0.273059631472672
beta,-0.014736439448348576,0.1725807492963837,-0.0734806679380719,-0.04240205947678959,0.20057643720018928,0.18751428378066007,0.10108792265875144,-0.013759023139363998,0.1402584822290202,0.23104168114545612,-0.09726957157253904,-0.11459077232406402,0.36266523927513433,0.1235227855957772,0.10593452347190561,-0.0018110470570431125,0.6970569333418715,-0.3447845510044342,-0.199676278158453,-0.19960238091086271,,,,,,,0.07892407410773197,0.2456991786648227,0.12005512759269395,0.12429908986716627,1.0,0.6878682120950749,-0.06757908839497351
u_beta,0.1465681444242214,0.07950797908494,-0.16751334750391023,-0.04355423782695735,0.29103774240877783,0.09944063405758671,0.10528288914254262,0.008628182921905397,-0.03818094818592168,0.21814206454987725,-0.15267436287964212,-0.3182926763906597,0.20362975813854878,0.1409057393548158,0.1438427031458827,-0.0036248744531961383,0.5684635632407177,-0.18473619271268465,-0.12729099936123583,-0.12724255617332297,,,,,,,0.1889550872889304,0.33047179691867573,0.10852913307943071,0.3460563650162789,0.6878682120950749,1.0,-0.14091584112649205
SMART,0.0059341162210749055,-0.023550313659002866,-0.03045964670648568,-0.07910939058548128,-0.2512612662001526,-0.039754437295805745,-0.013657011143772341,0.08579248134268495,-0.16987818701714935,-0.2840114204331841,0.09397272179479857,0.361526652542323,-0.16210199438016681,-0.03359877976431844,-0.01559455092634674,-0.03311348562839132,-0.08198202643531517,-0.0007139002170368995,0.02824711317564528,0.028202003855074115,0.00620916970252154,-0.09731073783444819,0.06629173435219461,0.13678914443279203,-0.18103699113772864,0.07727564703877958,0.11409890308708162,0.15386615077330168,-0.32025586158005415,-0.273059631472672,-0.06757908839497351,-0.14091584112649205,1.0
