,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,SMART,ATNF Period (s) log,ATNF Pdot log,ATNF Spin Frequency (Hz) log,ATNF Fdot log,ATNF DM log,ATNF B_surf (G) log,ATNF B_LC (G) log,ATNF E_dot (ergs/s) log,L400 (mJy kpc^2) log,L1400 (mJy kpc^2) log,Age (Yr) log,vb log,u_vb log,vc log,u_vc log,vpeak log,u_vpeak log
ATNF Period (s),1.0,0.1032199972971225,-0.19512678494599803,-0.03919587715605124,-0.0033748649970910026,0.2612681971251268,0.7312729073620443,-0.02969573576169124,0.0020365374120296085,-0.015714342515970158,0.0028254426850137303,-0.03477618412776553,-0.01939815506019012,0.07729330830133775,0.016068826609632793,-0.1545120802076359,-0.05810432870873343,0.04825144221292873,-0.0010301894459707835,-0.001041774727015554,-0.1909429516680562,-0.08577596035750955,0.041811509479549216,-0.03562171844466007,-0.052951300981090584,0.2653602379269267,-0.10229114747080026,-0.083883974039259,-0.21255212465468168,-0.14913041854269754,-0.014736439448348576,0.1465681444242214,0.0059341162210749055,0.5155184056380215,0.23233919950272314,-0.515518405638022,-0.24442573034886694,-0.01929383437168284,0.3311003101648673,0.4661307400366932,-0.45364804307388423,-0.010160471535399592,-0.08957167263270965,-0.03988884198158371,-0.15659595593214,-0.05785405046834458,-0.2675544787419335,-0.10673024244235427,-0.2357926274876563,0.07318421436129863
ATNF Pdot,0.1032199972971225,1.0,-0.02297696761148276,0.05321386091601821,0.30517294950479756,0.9394152559496629,0.03946965215488527,0.02464580027345962,0.02627404400434772,0.14922154841559374,0.3695441703578247,-0.027964865628419665,-0.041605113950068995,0.06851907748148021,-0.003615598881742137,-0.01990184538673706,0.06024968423819155,-0.012494911640951333,-0.0034889916688470727,-0.0034876609657600757,-0.06892214017715448,-0.01672673158291139,0.28771527706004085,-0.025143126883510374,-0.07210303134301367,-0.04890236970776258,0.025901240368503862,0.00715904049718927,0.3429965915618582,0.28580007888104175,0.1725807492963837,0.07950797908494,-0.023550313659002866,0.06251805806717847,0.14935712731315917,-0.06251805806717856,0.145245211536424,0.1215086079710393,0.13255892048079868,0.0908285239407385,0.09242631409929165,-0.016525253823535712,0.022597744288415215,-0.16310675375605393,-0.05360404583619819,-0.060442841038531814,0.08463103547786933,0.006467394908063025,0.27963469071537717,0.017645692833589736
ATNF Spin Frequency (Hz),-0.19512678494599803,-0.02297696761148276,1.0,-0.004949408294162677,-0.20042348760937606,-0.07235979160465335,-0.011341755356023421,0.0024725472701147464,0.07012483928591408,-0.11460316877387423,-0.019458743814894375,0.06350789809863296,-0.08425293022574683,-0.038689145226188625,-0.01452062839971069,0.5596281740908013,-0.11921249278072209,-0.05252619571880298,-0.01267202432598297,-0.01266695071984999,0.4878064461808711,-0.027154879967371225,-0.2973376052534266,-0.09367220487200743,0.04973994124184517,-0.08856863024034023,0.0799951370655963,0.10466025527276894,0.03291008334798,-0.1091800489036642,-0.0734806679380719,-0.16751334750391023,-0.03045964670648568,-0.7960001844985947,-0.7236904468474773,0.796000184498594,-0.1540398535813428,-0.3065574284196316,-0.7883780190571733,-0.8200469685719265,0.2509434173716584,-0.18425508401971036,-0.2314431838385621,0.5401940835824407,0.2977282633784241,-0.013515516534073459,0.222368262727438,0.07301893318736555,-0.025341441195993686,-0.15462077508262384
ATNF Fdot,-0.03919587715605124,0.05321386091601821,-0.004949408294162677,1.0,0.007524510229391775,0.026165441575799475,-0.0024641737737298632,0.9867276180488326,-0.04471669652332936,-0.011836886904823521,0.032160138033663355,-0.0018515511224481542,-0.0578193503778232,0.009588047887549401,-0.00298746469705291,-0.017220684285455253,0.07579433157030942,-0.010614581023817966,-0.003088924511946957,-0.003087748162227907,-0.07101413520590599,-0.031594552372391026,0.2652272379471681,0.0034675618737860293,-0.10446180440872148,-0.013403681741180286,-0.012111436763635162,-0.023834224306201895,0.46406689516711275,0.4540967457023685,0.04240565659396323,0.043472414551279495,0.07910910425464288,-0.070043241969151,0.09460108754290106,0.07004324196915114,0.21795483456412734,0.012631375872113302,0.05069170139900128,-0.029002722527724734,0.21768781991936428,0.04534804363301908,0.035936001712304017,-0.160273765819948,-0.07816150495158063,-0.042499572754817055,0.034659535307123825,-0.01125249946764538,0.2975628489820862,0.030063783878404707
ATNF DM,-0.0033748649970910026,0.30517294950479756,-0.20042348760937606,0.007524510229391775,1.0,0.3592550771086859,-0.012674854366102724,-0.010244154704496512,0.1066721819166347,0.6814290166186233,0.07891366914002561,-0.2319970783979865,0.15979841853258245,0.11573549953084077,-0.025241219429975204,-0.19546430575161197,0.054295841637348095,0.07580652505206277,-0.03778162592226153,-0.037767394197731334,-0.004949060695183639,-0.14848964092599432,0.1321763427503192,-0.07753154081698299,-0.1312834756160659,0.01713782619297506,-0.1045043033116522,-0.15106573901191508,0.4432537018909542,0.6318443509347905,0.20057643720018928,0.29103774240877783,-0.2512612662001526,0.15195834971911568,0.41336391557578317,-0.15195834971911545,0.43198338395876784,0.8359175190986702,0.35935641372448396,0.23182908079596817,0.2917560731225814,0.3621037344716831,0.42860404232760246,-0.46428722041575804,0.2134118277032973,-0.19310504583266652,0.01465622509178868,-0.13208996693660474,0.4649261816133216,0.26023185025195317
ATNF B_surf (G),0.2612681971251268,0.9394152559496629,-0.07235979160465335,0.026165441575799475,0.3592550771086859,1.0,0.11924746247868759,0.006006418240736757,0.02876204293876032,0.20137544075544786,0.3394966139341474,-0.037374985865526504,-0.014949482024263043,0.2111304193113542,-0.00734496686199506,-0.06283115729888136,0.02456350981133025,0.004878322279592547,-0.007045356754162109,-0.0070431342272004325,-0.1380770099824371,-0.0184339258332764,0.18285788780338508,-0.008686819687600744,-0.1179766954016404,-0.028008156999563067,0.0710955828249619,0.040508858231818184,0.2714052847130691,0.16654545381927835,0.18751428378066007,0.09944063405758671,-0.039754437295805745,0.17234315378311382,0.27434178577195545,-0.17234315378311393,0.20180940657329308,0.18524811892800533,0.26061511499081963,0.21138593046526638,0.08783527140797442,0.011111034364540293,0.031092022560121065,-0.270269997933794,-0.12709590238273524,-0.05611879650148874,0.09370007747412,-0.00021306618918798023,0.24116362428070973,-0.02453149378314934
ATNF B_LC (G),0.7312729073620443,0.03946965215488527,-0.011341755356023421,-0.0024641737737298632,-0.012674854366102724,0.11924746247868759,1.0,-0.0017832732440117586,0.023568249104032424,-0.019585686980170502,0.00986167164797836,-0.02133798456411237,-0.04829955110392201,0.0016063600681457046,-0.0018948508439099575,-0.009053330722431448,-0.03650310401995743,-0.0040887878812228655,-0.0016798658113752487,-0.0016792367805632843,-0.06983421780702245,-0.027429782039353517,0.054730552519305586,-0.04123686361822897,0.006692185947877747,-0.02123484706618282,-0.05517164139127674,-0.04867206110511567,0.05717628101752728,-0.05106185369667627,0.10108792265875144,0.10528288914254262,-0.013657011143772341,0.0942505667596054,0.034009290952105344,-0.09425056675960569,-0.05736057499279527,-0.019807966505136648,0.05403773486737413,0.0827236875276785,-0.09305787088643191,-0.06902190874097884,-0.10312022851701756,0.003701499938337215,-0.06749170272345585,-0.01844721906861293,-0.11443293464496258,-0.06757393051577643,0.08733426844781067,-0.067381330896737
ATNF E_dot (ergs/s),-0.02969573576169124,0.02464580027345962,0.0024725472701147464,0.9867276180488326,-0.010244154704496512,0.006006418240736757,-0.0017832732440117586,1.0,-0.040251955955839434,-0.024274511094306606,0.007958322859358928,-0.000275645628284723,-0.056611391933433695,0.012286978345935786,-0.0020719967881564863,-0.011691463422341829,0.0437777122205038,-0.0001987014224449212,-0.0021485640840967417,-0.002147753395066508,-0.07180019589377865,-0.03218952737978357,0.2635245626837936,0.005795235900997385,-0.10710955318869023,-0.011697331581851841,-0.014982882255171642,-0.03009135737617034,0.4204713807082009,0.3730905968931645,-0.013759023139363998,0.008628182921905397,0.08579248134268495,-0.06384881291899416,0.064479470789955,0.06384881291899419,0.1653782105616874,-0.005907622937490085,0.030140862723320803,-0.031238924591289827,0.1694711863980235,0.04703675027966407,0.027521349582228186,-0.11679273305217706,-0.08084258423542208,-0.04110368190087012,0.041931769310925224,-0.019248559745364612,0.1984264765106528,-0.011154987488559398
Probability Best,0.0020365374120296085,0.02627404400434772,0.07012483928591408,-0.04471669652332936,0.1066721819166347,0.02876204293876032,0.023568249104032424,-0.040251955955839434,1.0,0.27137997205968833,-0.00041443468621469237,-0.23289419088118934,0.09730185521818908,-0.04856120907484931,0.025512172382997543,0.04123780664810293,0.02763573013518719,0.0722166289596683,-0.06229428428236698,-0.06230421680660836,0.05455132102949009,-0.21758635125433287,-0.16125983466876928,-0.4255213774178789,0.23165655915636935,-0.17213776042411963,0.0703068702663985,0.10926712204882524,-0.19439641079469194,-0.33802175502108023,0.1402584822290202,-0.03818094818592168,-0.16987818701714935,-0.06564844008063486,-0.04530194648138772,0.06564844008063475,0.00610021144055777,0.07036404069287337,-0.053842637609970906,-0.06301547410942192,0.037193162827041104,-0.009142071334788381,-0.07446928608078054,0.026125316501535767,0.11012593905138116,-0.35714969077982667,-0.08337749342944759,0.02427097649963121,-0.18866277661148953,-0.2552554537134578
Min freq (MHz),-0.015714342515970158,0.14922154841559374,-0.11460316877387423,-0.011836886904823521,0.6814290166186233,0.20137544075544786,-0.019585686980170502,-0.024274511094306606,0.27137997205968833,1.0,0.0039380864425731296,-0.3558478751411237,0.2981823754152057,0.08631648817782854,-0.03248148213774513,-0.12361905213130168,0.021082032398863117,0.15442117705904118,-0.042591147727036476,-0.042575139740076276,0.08455496334685823,0.016474284258572627,0.10850131972815236,0.07539238037735303,-0.10252200936602258,-0.02839262078970163,-0.05620916332534789,-0.12489859403944786,0.885939026342717,0.5585906826474426,0.23104168114545612,0.21814206454987725,-0.2840114204331841,0.05349252293478385,0.27396822694174344,-0.053492522934783605,0.3315178245789281,0.6621754989254889,0.22590331488772894,0.12173752339774249,0.2520630336878876,0.21266168900479002,0.23274760525398427,-0.3287275328704191,0.28565503476480314,-0.0011377605242096052,0.11832525168166289,-0.1388977516540851,0.7913657584293549,-0.05446719670105772
Max freq (MHz),0.0028254426850137303,0.3695441703578247,-0.019458743814894375,0.032160138033663355,0.07891366914002561,0.3394966139341474,0.00986167164797836,0.007958322859358928,-0.00041443468621469237,0.0039380864425731296,1.0,0.3196534601708942,-0.06563168975838901,-0.004401162132307543,-0.008514408243167118,-0.023251001757764813,-0.014618627844705755,-0.044932572461454635,0.04220517137341304,0.042207974777194,-0.010746962379077674,-0.023689504704493495,-0.010895784571874413,-0.08092788789577415,0.019341368462569685,-0.05641295950692408,0.7090710411758239,0.599813134990534,-0.03268807479034418,-0.023555635785129377,-0.09726957157253904,-0.15267436287964212,0.09397272179479857,-0.013698980334770298,0.09980898957444552,0.013698980334770357,0.1593667402741545,-5.4898546861039744e-05,0.07208681897313149,0.01778991462310018,0.14067673605773373,0.020485175653068736,0.062423734515800466,-0.1372426483776501,0.04111933649017347,-0.0572580194586363,0.7221467558425103,0.09519190119284386,0.03828764301833054,-0.04105497905548974
N data flux,-0.03477618412776553,-0.027964865628419665,0.06350789809863296,-0.0018515511224481542,-0.2319970783979865,-0.037374985865526504,-0.02133798456411237,-0.000275645628284723,-0.23289419088118934,-0.3558478751411237,0.3196534601708942,1.0,-0.07431273822764489,-0.007109311105925024,-0.022946580678533515,0.009625171287914765,-0.31462841605081754,-0.003489818570291457,0.07796796301585344,0.07795542852647541,0.07308977176174611,-0.07565989295011581,-0.03357838912764448,-0.20978430704720027,0.012870619146748566,-0.15595796727037936,0.44120461495761215,0.507652758076967,-0.2926892388067628,-0.32848203915635493,-0.11459077232406402,-0.3182926763906597,0.361526652542323,-0.04832787531161858,-0.030329697276697005,0.04832787531161858,-0.027808666134744333,-0.3299562652627778,-0.029356033943414742,-0.02478425449678101,-0.007108908248121888,-0.010140053112653818,-0.033622202312827754,0.028948316586445227,0.019517216883836702,-0.15418666645242912,0.5738670814631346,0.3463240348610483,-0.31947138916795614,-0.22752284602049025
Bandwidth fit?,-0.01939815506019012,-0.041605113950068995,-0.08425293022574683,-0.0578193503778232,0.15979841853258245,-0.014949482024263043,-0.04829955110392201,-0.056611391933433695,0.09730185521818908,0.2981823754152057,-0.06563168975838901,-0.07431273822764489,1.0,0.04860015609070371,-0.05617669595405514,-0.019199930958844095,0.10195031431173206,-0.014068970977113565,-0.06301644147879322,-0.06299270235858313,-0.1292462369836298,-0.08080695470862805,0.018409123086271375,-0.09284578189238607,0.12125006698543374,0.012554493310976186,-0.020246642663520747,0.000260836126234978,-0.11957752914970997,-0.2217668535838105,0.36266523927513433,0.20362975813854878,-0.16210199438016681,0.0623548403830971,0.0935857475492038,-0.06235484038309699,0.06703161492591564,0.17357909711413846,0.09005241843179676,0.07509880188644928,0.02446573797909381,0.15784847613787797,0.14775779820757923,-0.09022905243402818,-0.07654745897510544,-0.004237009591293601,0.043764232099468205,-0.051935513893123904,-0.1292142832958807,-0.14498687106665334
L400 (mJy kpc^2),0.07729330830133775,0.06851907748148021,-0.038689145226188625,0.009588047887549401,0.11573549953084077,0.2111304193113542,0.0016063600681457046,0.012286978345935786,-0.04856120907484931,0.08631648817782854,-0.004401162132307543,-0.007109311105925024,0.04860015609070371,1.0,0.0408712158731955,-0.041047091200770616,-0.18196801118563788,0.07540145691942345,-0.005372494047328911,-0.00536975674857383,-0.0657469744442313,-0.06984955561326317,0.18213843612733455,0.0032224116672998683,-0.07203443880651852,-0.08921882374343544,-0.07594845031466572,-0.08095805771020248,-0.0962706762081158,-0.035608263626649164,0.1235227855957772,0.1409057393548158,-0.03359877976431844,0.08126548676086211,0.09285600580015138,-0.08126548676086214,0.043262799519682135,0.1270802424243493,0.09495098415206703,0.08908048520479396,-0.002516411552437661,0.3111049413056366,0.17576768891994426,-0.07993593378907175,-0.012303139346570052,-0.05306792732098213,-0.08494426166919117,0.04191068015289743,-0.03756771592079616,0.032415909652118484
L1400 (mJy kpc^2),0.016068826609632793,-0.003615598881742137,-0.01452062839971069,-0.00298746469705291,-0.025241219429975204,-0.00734496686199506,-0.0018948508439099575,-0.0020719967881564863,0.025512172382997543,-0.03248148213774513,-0.008514408243167118,-0.022946580678533515,-0.05617669595405514,0.0408712158731955,1.0,-0.012078081239427066,0.1493581466520195,0.018956512128271034,-0.0018160213884920568,-0.0018151695147973028,-0.030545866501002897,-0.0477035927702699,0.2460796878049064,-0.05860335789175514,0.004295529339100276,-0.05973041496002012,-0.0478166229631719,-0.08303034818109752,0.009924760021258071,0.08504205837763328,0.10593452347190561,0.1438427031458827,-0.01559455092634674,0.03207689290833802,-0.0004719806273651706,-0.03207689290833802,-0.03673442487084304,-0.027370270088922722,0.00921645751570217,0.024774024251499736,-0.04638306696211288,0.0787772765544822,0.19000675693240288,0.017012975066531343,0.038253553101122516,-0.06883879410817303,0.07148387048047614,-0.0068326583475566225,0.06522220335694284,0.07127577815461247
Age (Yr),-0.1545120802076359,-0.01990184538673706,0.5596281740908013,-0.017220684285455253,-0.19546430575161197,-0.06283115729888136,-0.009053330722431448,-0.011691463422341829,0.04123780664810293,-0.12361905213130168,-0.023251001757764813,0.009625171287914765,-0.019199930958844095,-0.041047091200770616,-0.012078081239427066,1.0,-0.018187155457383957,-0.05151023662637266,-0.011019172054513578,-0.011015112128211905,0.25438675549517903,-7.418161453393238e-05,-0.27564718743209066,-0.08053183334008136,0.048618138360408514,-0.06508928501188772,0.24438887702398918,0.30778328146483236,0.014610506572015763,-0.08756253215001027,-0.0018110470570431125,-0.0036248744531961383,-0.03311348562839132,-0.593396098045509,-0.6597825433126884,0.5933960980455085,-0.283126069632487,-0.3197839604903706,-0.6801124799478911,-0.6471158926852243,0.043922685598306616,-0.24555815122912422,-0.2540972093453958,0.5586582838437265,0.1069452966629134,0.0766082317053683,0.4096073296003301,0.16971143584046403,0.05256081291202026,-0.09157300521149715
a,-0.05810432870873343,0.06024968423819155,-0.11921249278072209,0.07579433157030942,0.054295841637348095,0.02456350981133025,-0.03650310401995743,0.0437777122205038,0.02763573013518719,0.021082032398863117,-0.014618627844705755,-0.31462841605081754,0.10195031431173206,-0.18196801118563788,0.1493581466520195,-0.018187155457383957,1.0,-0.41821355010070904,-0.1690939423457615,-0.16901479761496102,,,,,,,-0.47668390064323135,-0.47038233494788423,-0.06388037970841635,0.1865080696119805,0.6970569333418715,0.5684635632407177,-0.08198202643531517,0.03788656009930903,0.06341844316004014,-0.03788656009930878,0.10708522178211087,0.05878082326166137,0.04656926144250878,0.013280529256804443,0.08589044001529846,-0.0924626761393271,0.1666725614212524,-0.08590749671611084,,,-0.4612102982105665,-0.24890588377868517,-0.06341806409973948,0.23195350867325576
u_a,0.04825144221292873,-0.012494911640951333,-0.05252619571880298,-0.010614581023817966,0.07580652505206277,0.004878322279592547,-0.0040887878812228655,-0.0001987014224449212,0.0722166289596683,0.15442117705904118,-0.044932572461454635,-0.003489818570291457,-0.014068970977113565,0.07540145691942345,0.018956512128271034,-0.05151023662637266,-0.41821355010070904,1.0,-0.017121435791165106,-0.017306150573373542,,,,,,,-0.10001016897210095,-0.07868839776533201,0.09952635866558295,0.042790644168234714,-0.3447845510044342,-0.18473619271268465,-0.0007139002170368995,0.07661300527055019,0.027576773596725394,-0.07661300527055022,-0.07842033806120989,0.06037058713423324,0.05192777003949305,0.08821218970334586,-0.11436842551695611,0.04025965797840094,0.001927928452041691,0.01687066014830439,,,-0.16573498923998878,0.16570528139364316,0.09834538830756183,0.03417579835763054
c,-0.0010301894459707835,-0.0034889916688470727,-0.01267202432598297,-0.003088924511946957,-0.03778162592226153,-0.007045356754162109,-0.0016798658113752487,-0.0021485640840967417,-0.06229428428236698,-0.042591147727036476,0.04220517137341304,0.07796796301585344,-0.06301644147879322,-0.005372494047328911,-0.0018160213884920568,-0.011019172054513578,-0.1690939423457615,-0.017121435791165106,1.0,0.9999998738114096,-0.15298952056620144,-0.05632328020391158,0.4109496956301074,0.8058110721684852,-0.03178319649133084,-0.01718436691381584,-0.015507161575422913,-0.022571161642744118,-0.054531023506896044,-0.012777773900630422,-0.199676278158453,-0.12729099936123583,0.02824711317564528,0.01290765795238684,0.007140584721507571,-0.01290765795238684,-0.0038447519759688418,-0.05973486015071115,0.009228708751640616,0.011862329467822301,-0.00941147141707175,0.008605504401790025,0.022094196110590048,-0.002847613315744469,-0.28494659379560033,0.015475614372114033,0.020749818842714162,-0.02830729908293054,-0.018086195855983665,0.03646972381613752
u_c,-0.001041774727015554,-0.0034876609657600757,-0.01266695071984999,-0.003087748162227907,-0.037767394197731334,-0.0070431342272004325,-0.0016792367805632843,-0.002147753395066508,-0.06230421680660836,-0.042575139740076276,0.042207974777194,0.07795542852647541,-0.06299270235858313,-0.00536975674857383,-0.0018151695147973028,-0.011015112128211905,-0.16901479761496102,-0.017306150573373542,0.9999998738114096,1.0,-0.14620628632490199,-0.04512559133351518,0.2760288582720177,0.31025744695762675,-0.03184575885121473,-0.04804153275257114,-0.015498113699992445,-0.022458787329813146,-0.05449920214770124,-0.0127492496732839,-0.19960238091086271,-0.12724255617332297,0.028202003855074115,0.012892665581612547,0.007139796395890011,-0.012892665581612563,-0.0038289429022703085,-0.05971221925543417,0.009223612477549235,0.011850414708378726,-0.00939092793838812,0.008607730634975653,0.02210199317610885,-0.0028542802461986464,-0.31170896555200417,-0.02086566357059146,0.021003848486125663,-0.027775877880647705,-0.018050219149627764,0.03648887419433155
vb,-0.1909429516680562,-0.06892214017715448,0.4878064461808711,-0.07101413520590599,-0.004949060695183639,-0.1380770099824371,-0.06983421780702245,-0.07180019589377865,0.05455132102949009,0.08455496334685823,-0.010746962379077674,0.07308977176174611,-0.1292462369836298,-0.0657469744442313,-0.030545866501002897,0.25438675549517903,,,-0.15298952056620144,-0.14620628632490199,1.0,0.5915443506509581,-0.22077614370939963,-0.24342675071065387,0.024864915292192532,0.13945599647752088,,,,,,,0.00620916970252154,-0.3526897520686099,-0.23973725027469608,0.35268975206860936,0.05190958195791875,-0.1504282025949022,-0.2877911548641155,-0.34121973899791513,0.21210067749314662,-0.1756149884151963,-0.053722055961986724,0.1333912885786253,0.834805082477525,0.05711105729847452,,,,
u_vb,-0.08577596035750955,-0.01672673158291139,-0.027154879967371225,-0.031594552372391026,-0.14848964092599432,-0.0184339258332764,-0.027429782039353517,-0.03218952737978357,-0.21758635125433287,0.016474284258572627,-0.023689504704493495,-0.07565989295011581,-0.08080695470862805,-0.06984955561326317,-0.0477035927702699,-7.418161453393238e-05,,,-0.05632328020391158,-0.04512559133351518,0.5915443506509581,1.0,-0.022954526489352377,-0.018723011211011806,0.06373431548666669,0.050392510492395015,,,,,,,-0.09731073783444819,-0.04898041450181776,0.06505796389790561,0.04898041450181791,0.15001266352022075,-0.137697209440592,0.03501578986935535,-0.01951283803167503,0.1496924476376589,-0.16938176526658283,-0.06702444696001414,-0.11010432276512645,0.36808505374890876,0.4886692236166971,,,,
a1,0.041811509479549216,0.28771527706004085,-0.2973376052534266,0.2652272379471681,0.1321763427503192,0.18285788780338508,0.054730552519305586,0.2635245626837936,-0.16125983466876928,0.10850131972815236,-0.010895784571874413,-0.03357838912764448,0.018409123086271375,0.18213843612733455,0.2460796878049064,-0.27564718743209066,,,0.4109496956301074,0.2760288582720177,-0.22077614370939963,-0.022954526489352377,1.0,0.38363026965806407,-0.31242528636060535,-0.2984622913874322,,,,,,,0.06629173435219461,0.21425625533246212,0.3797457057817519,-0.21425625533246195,0.30838107740250525,0.16526314126808433,0.35331374690900724,0.2736384126708791,0.15734988167213892,0.23053712228399303,0.26154838954799536,-0.3872106605979269,-0.28294404099417886,0.014508190369101694,,,,
